latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,52,78,,Grieta Vertical,57,0.30511805415153503,"[0.5667771100997925, 0.7539395093917847, 0.6591683626174927, 0.8967024087905884]",D00,3038.9859275936033,"(528.2054138183594, 220.67018508911133)",51.394643783569336,59.130401611328125,230400,188,Grieta Vertical
,,,53,80,,Desenfoque de linea blanca,58,0.24855606257915497,"[0.5410683751106262, 0.7096716165542603, 0.6699719429016113, 0.9182823300361633]",D44,6195.609272964157,"(520.9452629089355, 217.98725724220276)",75.09985685348511,82.49828338623047,230400,45,Desenfoque de linea blanca
,,,54,81,,Grieta Vertical,59,0.40933820605278015,"[0.5298415422439575, 0.7000210285186768, 0.6355037689208984, 0.8915659785270691]",D00,4663.080789490959,"(509.3078422546387, 209.76215600967407)",68.95618200302124,67.62382507324219,230400,189,Grieta Vertical
,,,55,83,,Desenfoque de linea blanca,60,0.5178127884864807,"[0.5532306432723999, 0.683288037776947, 0.7007848620414734, 0.9098697304725647]",D44,7702.982704068745,"(509.81048583984375, 225.7227909564972)",81.56940937042236,94.43470001220703,230400,46,Desenfoque de linea blanca
,,,56,84,,Grieta Vertical,61,0.2642982304096222,"[0.533511221408844, 0.6587249040603638, 0.679193377494812, 0.8816430568695068]",D00,7482.285419198342,"(492.9177474975586, 218.28682780265808)",80.2505350112915,93.23657989501953,230400,190,Grieta Vertical
,,,57,85,,Grieta e Intervalo Lineal Transversal,62,0.5295455455780029,"[0.284094899892807, 0.7896403074264526, 0.6423833966255188, 0.868084192276001]",D10,6475.51678017453,"(530.4718399047852, 166.76609337329865)",28.239798545837402,229.30463790893555,230400,344,Grieta e Intervalo Lineal Transversal
,,,58,87,,Grieta Vertical,63,0.302944540977478,"[0.5273556709289551, 0.6561176776885986, 0.6769053339958191, 0.8866550922393799]",D00,7943.453031254467,"(493.6872863769531, 216.76698088645935)",82.99346923828125,95.71178436279297,230400,191,Grieta Vertical
,,,58,87,,Grieta e Intervalo Lineal Transversal,64,0.23437750339508057,"[0.33058133721351624, 0.6961269974708557, 0.41702699661254883, 0.7302820682525635]",D10,680.2692746216508,"(456.45090103149414, 134.5695000886917)",12.295825481414795,55.32522201538086,230400,345,Grieta e Intervalo Lineal Transversal
,,,59,90,,Grieta Vertical,65,0.5684898495674133,"[0.5192464590072632, 0.6745971441268921, 0.6359054446220398, 0.9091576337814331]",D00,6304.570856848295,"(506.80152893066406, 207.92734265327454)",84.44177627563477,74.66175079345703,230400,192,Grieta Vertical
,,,60,91,,Desenfoque de linea blanca,66,0.4748534858226776,"[0.48227089643478394, 0.6851540207862854, 0.5920489430427551, 0.8872939944267273]",D44,5112.698445534988,"(503.18336486816406, 193.37757110595703)",72.77039051055908,70.25794982910156,230400,47,Desenfoque de linea blanca
